run_accession	sample_accession	accession	experiment_accession	base_count	fastq_bytes	fastq_ftp
DRR000824	SAMD00000670	SAMD00000670	DRX000490	279076	130506	ftp.sra.ebi.ac.uk/vol1/fastq/DRR000/DRR000824/DRR000824.fastq.gz
DRR000825	SAMD00000670	SAMD00000670	DRX000490	462582	212946	ftp.sra.ebi.ac.uk/vol1/fastq/DRR000/DRR000825/DRR000825.fastq.gz
DRR000826	SAMD00000670	SAMD00000670	DRX000490	708023	329907	ftp.sra.ebi.ac.uk/vol1/fastq/DRR000/DRR000826/DRR000826.fastq.gz
DRR000827	SAMD00000670	SAMD00000670	DRX000490	745460	342866	ftp.sra.ebi.ac.uk/vol1/fastq/DRR000/DRR000827/DRR000827.fastq.gz
DRR000828	SAMD00000670	SAMD00000670	DRX000490	870392	400810	ftp.sra.ebi.ac.uk/vol1/fastq/DRR000/DRR000828/DRR000828.fastq.gz
DRR000829	SAMD00000670	SAMD00000670	DRX000490	538526	243055	ftp.sra.ebi.ac.uk/vol1/fastq/DRR000/DRR000829/DRR000829.fastq.gz
DRR000830	SAMD00000670	SAMD00000670	DRX000490	108438	51849	ftp.sra.ebi.ac.uk/vol1/fastq/DRR000/DRR000830/DRR000830.fastq.gz
DRR000831	SAMD00000670	SAMD00000670	DRX000490	77406	38008	ftp.sra.ebi.ac.uk/vol1/fastq/DRR000/DRR000831/DRR000831.fastq.gz
DRR000832	SAMD00000670	SAMD00000670	DRX000490	41188	20381	ftp.sra.ebi.ac.uk/vol1/fastq/DRR000/DRR000832/DRR000832.fastq.gz
DRR000835	SAMD00009826	SAMD00009826	DRX000493	19085330	7753280	ftp.sra.ebi.ac.uk/vol1/fastq/DRR000/DRR000835/DRR000835.fastq.gz
DRR000839	SAMD00002578	SAMD00002578	DRX000497	18736048	9213042	ftp.sra.ebi.ac.uk/vol1/fastq/DRR000/DRR000839/DRR000839.fastq.gz
DRR000840	SAMD00002576	SAMD00002576	DRX000498	18379931	8794752	ftp.sra.ebi.ac.uk/vol1/fastq/DRR000/DRR000840/DRR000840.fastq.gz
DRR000853	SAMD00010721	SAMD00010721	DRX000505	15997406	11955337	ftp.sra.ebi.ac.uk/vol1/fastq/DRR000/DRR000853/DRR000853.fastq.gz
DRR001103	SAMD00013915	SAMD00013915	DRX000705	12441552	8698903	ftp.sra.ebi.ac.uk/vol1/fastq/DRR001/DRR001103/DRR001103.fastq.gz
DRR001153	SAMD00009479	SAMD00009479	DRX000750	1195130	467809	ftp.sra.ebi.ac.uk/vol1/fastq/DRR001/DRR001153/DRR001153.fastq.gz
DRR001154	SAMD00009479	SAMD00009479	DRX000751	1308627	531015	ftp.sra.ebi.ac.uk/vol1/fastq/DRR001/DRR001154/DRR001154.fastq.gz
DRR001155	SAMD00010987	SAMD00010987	DRX000752	1243705	544605	ftp.sra.ebi.ac.uk/vol1/fastq/DRR001/DRR001155/DRR001155.fastq.gz
DRR001156	SAMD00010987	SAMD00010987	DRX000753	1359802	592896	ftp.sra.ebi.ac.uk/vol1/fastq/DRR001/DRR001156/DRR001156.fastq.gz
DRR001157	SAMD00003636	SAMD00003636	DRX000754	1339269	472277	ftp.sra.ebi.ac.uk/vol1/fastq/DRR001/DRR001157/DRR001157.fastq.gz
DRR001158	SAMD00003636	SAMD00003636	DRX000755	1509024	527634	ftp.sra.ebi.ac.uk/vol1/fastq/DRR001/DRR001158/DRR001158.fastq.gz
DRR001159	SAMD00006290	SAMD00006290	DRX000756	12969987	7054513	ftp.sra.ebi.ac.uk/vol1/fastq/DRR001/DRR001159/DRR001159.fastq.gz
DRR001160	SAMD00006291	SAMD00006291	DRX000757	10342660	5444099	ftp.sra.ebi.ac.uk/vol1/fastq/DRR001/DRR001160/DRR001160.fastq.gz
DRR001167	SAMD00009395	SAMD00009395	DRX000764	2669343	872142	ftp.sra.ebi.ac.uk/vol1/fastq/DRR001/DRR001167/DRR001167.fastq.gz
DRR001168	SAMD00009393	SAMD00009393	DRX000765	10096064	3301833	ftp.sra.ebi.ac.uk/vol1/fastq/DRR001/DRR001168/DRR001168.fastq.gz
DRR001169	SAMD00009394	SAMD00009394	DRX000766	1963756	663937	ftp.sra.ebi.ac.uk/vol1/fastq/DRR001/DRR001169/DRR001169.fastq.gz
DRR001170	SAMD00009396	SAMD00009396	DRX000767	2137305	706683	ftp.sra.ebi.ac.uk/vol1/fastq/DRR001/DRR001170/DRR001170.fastq.gz
DRR001207	SAMD00013519	SAMD00013519	DRX000804	14655901	4787857	ftp.sra.ebi.ac.uk/vol1/fastq/DRR001/DRR001207/DRR001207.fastq.gz
DRR001208	SAMD00013523	SAMD00013523	DRX000805	8871148	2760267	ftp.sra.ebi.ac.uk/vol1/fastq/DRR001/DRR001208/DRR001208.fastq.gz
DRR001209	SAMD00013524	SAMD00013524	DRX000806	7450326	2150448	ftp.sra.ebi.ac.uk/vol1/fastq/DRR001/DRR001209/DRR001209.fastq.gz
DRR001438	SAMD00003508	SAMD00003508	DRX000992	1154094	800972	ftp.sra.ebi.ac.uk/vol1/fastq/DRR001/DRR001438/DRR001438.fastq.gz
DRR001439	SAMD00003509	SAMD00003509	DRX000993	981290	679706	ftp.sra.ebi.ac.uk/vol1/fastq/DRR001/DRR001439/DRR001439.fastq.gz
